"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	DZIAŁ 1. LICZBY I DZIAŁANIA (2 1 h)";;;
"
	2 - 3";"
  Zapisywanie i

  porównywanie liczb";"
  · zna system dziesiątkowy (K)

  · rozumie różnicę między cyfrą a liczbą (K)

  · rozumie pojęcie osi liczbowej (K)

  · rozumie wartość liczby w zależności od położenia jej cyfr (K)

  · umie zapisywać liczby za pomocą cyfr (K – P)

  · umie odczytywać liczby zapisane cyframi (K)

  · umie zapisywać liczby słowami (K – P)

  · umie porównywać liczby (K)

  · umie porządkować liczby w kol ejności od najmniejszej do największej lub odwrotnie (K

  – P)";"
  · umie odczytywać współrzędne punktów na osi liczbowej (K – R)

  · umie zapisywać liczby, których cyfry spełniają podane warunki (R – W)

  · umie tworzyć liczby przez dopisywanie cyfr do danej liczby na początku i na

  końcu oraz porównywać utworzoną liczbę z daną

  (D – W)"
"
	4 - 5";"
  Dodawanie i odejmowanie

  w pamięci";"
  · zna nazwy działań i ich elementów (K)

  · rozumie porównywanie różnicowe (P)

  · rozumie korzyści płynące z szybkiego liczenia (P)

  · rozumie korzyści płynące z zastąpienia rachunków pisemnych rachunkami

  pamięciowymi (P)

  · umie pamięciowo dodawać i odejmować liczby:

  - w zakresie 100 (K)

  - powyżej 100 (P)

  · umie dopełniać składniki do określonej sumy (P)

  · umie obliczać odjemną (odjemnik), gdy dane s ą różnica i odjemnik (odjemna) (P)

  · umie stosować prawo przemienności i łączności dodawania (R)

  · umie rozwiązywać zadania tekstowe:

  – jednodziałaniowe (P)

  – wielodziałaniowe (R)";"
  · umie zastępować sumę dwóch liczb sumą lub różnicą dwóch innych liczb (P –

  D)

  · umie rozwiązywać nietypowe zadania tekstowe wielodziałaniowe (D – W)

  · umie uzupełniać brakujące liczby w wyrażeniu arytmetycznym, tak by

  otrzymać ustalony wynik (R – W)

  · umie stosować poznane metody szybkiego liczenia w życiu codziennym (R –

  D)

  · umie proponować własne metody szybkiego liczenia (D – W)"
"
	6 - 7";"
  Mnożenie i dzielenie w

  pamięci";"
  · zna nazwy działań i ich elementów (K)

  · zna pojęcie kwadratu i sześcianu liczby (P)

  · rozumie porównywanie ilorazowe (P)

  · rozumie korzyści płynące z szybkiego l iczenia (P)

  · rozumie korzyści płynące z zastąpienia rachunków pisemnych rachunkami

  pamięciowymi (P)

  · umie pamięciowo mnożyć liczby:

  - dwucyfrowe przez jednocyfrowe w zakresie 100 (K)

  - powyżej 100 (P)

  · umie pamięciowo dzielić liczby dwucyfrowe przez jed nocyfrowe lub dwucyfrowe:

  - w zakresie 100 (K)

  - powyżej 100 (P)

  · umie obliczać dzielną (dzielnik), gdy dane są iloraz i dzielnik (dzielna) (P)

  · umie wykonywać dzielenie z resztą (K – P)";"
  · umie pamięciowo mnożyć liczby:

  - trzycyfrowe przez jednocyfrowe w zakresie 1000 (P – R)

  · umie zamieniać jednostki (P – R)

  · umie rozwiązywać zadania tekstowe:

  – wielodziałaniowe (R)

  · umie zastąpić iloczyn prostszym iloczynem (P – R)

  · umie rozwiązywać nietypowe zadania tekstowe wielodziałaniowe (D – W)

  · umie uzupełniać brakujące liczby w wyrażeniu arytmetycznym, tak by

  otrzymać ustalony wynik (R – W)

  · umie stosować poznane metody szybkiego liczenia w życiu codziennym (R –

  D)

  · umie proponować własne metody szybkiego liczenia (D – W)"

;;"
  · umie obliczać kwadraty i sześciany liczb (P)

  · rozwiązywać zadania tekstowe:

  – jednodziałaniowe (P)";
"
	8 - 9";"
  Kolejność działań";"
  · zna kolejność wykonywania działań, gdy nie występują i gdy występują nawiasy (K)

  · umie wskazać działanie, które należy wykonać jako pierwsze (K)

  · umie obliczać wartości wyrażeń arytmetycznych dwudziałaniowych z uwzględnieniem

  kolejności działań i nawiasów (K)";"
  · zna kolejność wykonywania działań, gdy występują nawiasy i potęgi (R)

  · zna kolejność wykonywania działań, gdy nie występują nawiasy,a są potęgi

  (R)

  · um ie obliczać wartości wyrażeń arytmetycznych wielodziałaniowych z

  uwzględnieniem kolejności działań, nawiasów i zawierające potęgi (R – D)

  · umie wstawiać nawiasy tak, by otrzymywać różne wyniki (P – R)

  · umie zapisywać podane słownie wyrażenia arytmetyczne i obliczać ich

  wartości (R – D)

  · umie uzupełniać brakujące liczby

  w wyrażeniach arytmetycznych tak, by otrzymywać ustalone wyniki (R – D)

  · umie uzupełniać brakujące znaki działań

  w wyrażeniach arytmetycznych tak, by otrzymywać ustalone wyniki (R – D)"
10;"
  Szacowanie wyników

  działań";"
  · rozumie korzyści płynące z szacowania (P)";"
  · umie szacować wyniki działań (P – R)

  · umie rozwiązywać zadania tekstowe związane z szacowaniem (R – D)

  · umie planować zakupy stosownie do posiadanych środków (D – W)"
"
	11 - 12";"
  Działania pisemne –

  dodawanie i odejmowanie";"
  · zna algorytm dodawania i odejmowania pisemnego (K)

  · rozumie potrzebę stosowania dodawania i odejmowania pisemnego (K)

  · umie dodawać i odejmować pisemnie liczby bez przekraczania progu dziesiątkowego i

  z przekraczaniem jednego progu dziesiątkowego (K)

  · umie dodawać i odejmować pisemnie liczby z przekraczaniem kolejnych progów

  dziesiątkowych (P)";"
  · umie porównywać różnicowo liczby (K – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania pisemnego (P – R)

  · umie odtwarzać brakujące cyfry w odejmowaniu pisemnym (D – W)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania pisemnego (D – W)"
"
	13 - 14";"
  Działania pisemne –

  mnożenie";"
  · zna algorytmy mnożenia pisemnego (K)

  · rozumie potrzebę stosowania mnożenia pisemnego (K)

  · umie mnożyć pisemnie liczby wielocyfrowe przez dwucyfrowe (K)

  · umie mnożyć pisemnie liczby wielocyfrowe (P)

  · umie mnożyć pisemnie liczby wielocyfrowe przez liczby zakończone zerami (P)";"
  · umie rozwiązywa ć zadania tekstowe z zastosowaniem mnożenia pisemnego

  (P – R)

  · umie odtwarzać brakujące cyfry w mnożeniu pisemnym (W)"
