"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	DZIAŁ 1. LICZBY NATURALNE I UŁAMKI ( 22 h)";;;
"
	2 - 4";"
 Rachunki pamięciowe na

 liczbach naturalnych";"   zna nazwy działań (K)

   zna kolejność wykonywania działań (K)

   zna pojęcie potęgi (K)

   zna NWD i NWW (K- P)

   rozumie potrzebę stosowania działań pamięciowych (K)

   umie dzielić z resztą (K - P)

   umie rozłożyć liczbę na czynniki pierwsze (K - P)

   umie zaznaczyć i odczytać na osi liczbowej liczbę naturalną (K - P)

   umie dodawać i odejmować w pamięci:

	– dwucyfrowe liczby naturalne (K)

	– wielocyfrowe liczby naturalne (P - R)

   umie mnożyć i dzielić w pamięci

	– dwucyfrowe liczby naturalne (K)

	– wielocyfrowe liczby naturalne (P - R)
   umie obliczyć kwadrat i sześcian liczby naturalnej (K)

   umie obliczyć wartość wyrażenia arytmetycznego zawierającego działania na

	liczbach naturalnych i ułamkach dziesiętnych (K - P)

   umie tworzyć wyrażenia arytmetyczne na podstawie treści zadań i obliczać wartości

	tych wyrażeń (P - R)";"   umie obliczyć wartość wyrażenia arytmetycznego zawierającego działania na

	liczbach naturalnych (R - W)

   umie tworzyć wyrażenia arytmetyczne na podstawie treści zadań i obliczać wartości

	tych wyrażeń (D - W)

   umie rozwiązać zadanie tekstowe z zastosowaniem działań na liczbach naturalnych

	(R- W)"
"
	5 - 7";"
 Rachunki pamięciowe na

 ułamkach dziesiętnych";"   zna algorytm mnożenia i dzielenia ułamków dziesiętnych przez 10, 100, 1000,.. (K)

   umie zaznaczyć i odczytać na osi liczbowej ułamek dziesiętny (P - R)

   umie dodawać i odejmować w pamięci:

	– ułamki dziesiętne o jednakowej liczbie cyfr po przecinku (K)

	– ułamki dziesiętne różniące się liczbą cyfr po przecinku (P - R)

   umie mnożyć i dzielić w pamięci ułamki dziesiętne

	– w ramach tabliczki mnożenia (K)

	– wykraczające poza tabliczkę mnożenia (P - R)
   umie obliczyć kwadrat i sześcian ułamka dziesiętnego (K - P)

   umie obliczyć wartość wyrażenia arytmetycznego zawierającego działania ułamkach

	dziesiętnych (K - P)

   umie tworzyć wyrażenia arytmetyczne na podstawie treści zadań i obliczać wartości

	tych wyrażeń (P - R)";"   umie obliczyć wartość wyrażenia arytmetycznego zawierającego działania ułamkach

	dziesiętnych (R- W)
   umie tworzyć wyrażenia arytmetyczne na podstawie treści zadań i obliczać wartości

	tych wyrażeń (D - W)

   umie rozwiązać zadanie tekstowe z zastosowaniem działań na ułamkach

	dziesiętnych ( R- W)
   umie szacować wartości wyrażeń arytmetycznych (R)"
"
	8 - 10";"
 Działania pisemne na

 ułamkach dziesiętnych";"   zna i rozumie algorytmy czterech działań pisemnych (K)

   rozumie potrzebę stosowania działań pisemnych (K)

   umie pisemnie wykonać każde z czterech działań na ułamkach dziesiętnych (K - P)

   umie obliczyć kwadrat i sześcian ułamka dziesiętnego (K - P)";"   umie rozwiązać zadanie tekstowe z zastosowaniem działań na liczbach naturalnych i

	ułamkach dziesiętnych (R)
   umie rozwiązać nietypowe zadanie tekstowe z zastosowaniem działań na liczbach

	naturalnych i ułamkach dziesiętnych (D - W)"

;;"   umie rozwiązać zadanie tekstowe z zastosowaniem działań na liczbach naturalnych i

	ułamkach dziesiętnych (K - P)";
"
	11 - 12";"
 Potęgowanie liczb";"   zna pojęcie potęgi (K)

   rozumie związek potęgi z iloczynem (K)

   umie zapisać iloczyny w postaci potęgi (K - P)

   umie rozwiązać zadanie tekstowe związane z potęgami (P - R)";"   umie zapisać liczbę w postaci potęgi liczby10 (R)

   umie określić ostatnią cyfrę potęgi (D - W)

   umie rozwiązać zadanie tekstowe związane z potęgami (D -W)"
"
	13 - 1 5";"
 Działania na ułamkach

 zwykłych";"   zna i rozumie zasadę skracania i rozszerzania ułamków zwykłych (K)

   zna i rozumie pojęcie ułamka nieskracalnego (K)

   zna i rozumie pojęcie ułamka jako:

	– ilorazu dwóch liczb naturalnych (K)

	– części całości (K)

   zna i rozumie algorytm zamiany liczby mieszanej na ułamek niewłaściwy i odwrotnie

	(K)

   zna i rozumie algorytmy czterech działań na ułamkach zwykłych (K)

   umie zaznaczyć i odczytać ułamek na osi liczbowej (K - R)

   umie wyciągać całości z ułamków niewłaściwych oraz zamieniać liczby mieszane na

	ułamki niewłaściwe (K)
   umie dodawać, odejmować, mnożyć i dzielić ułamki zwykłe (K - P)

   umie obliczyć ułamek z:

	– liczby naturalnej (K)

	– ułamka lub liczby mieszanej (P - R)

   umie obliczyć wartość wyrażenia arytmetycznego zawierającego cztery działania

	oraz potęgowanie ułamków zwykłych (K - P)
   umie rozwiązać zadanie tekstowe z zastosowaniem działań na ułamkach zwykłych

	(K - P )";"   umie obliczyć wartość wyrażenia arytmetycznego zawierającego cztery działania

	oraz potęgowanie ułamków zwykłych (R - W )
   umie obliczyć wartość ułamka piętrowego (R - D)

   umie rozwiązać nietypowe zadanie tekstowe z zastosowaniem działań na ułamkach

	zwykłych (D- W)"
"
	1 6 - 1 8";"
 Ułamki zwykłe

 i dziesiętne";"   zna i rozumie zasadę zamiany ułamka zwykłego na ułamek dziesiętny metodą

	rozszerzania lub skracania ułamka (K)

   zna i rozumie zasadę zamiany ułamka dziesiętnego na ułamek zwykły (K)

   umie zamienić ułamek zwykły na ułamek dziesiętny i odwrotnie (K - P)

   umie porównać ułamek zwykły z ułamkiem dziesiętnym (P - R)

   umie porządkować ułamki (P - R)

   umie zaznaczyć i odczytać ułamki zwykłe i dziesiętne na osi liczbowej (K - R)

   umie obliczyć wartość wyrażenia arytmetycznego zawierającego cztery działania na

	liczbach wymiernych dodatnich (P - R)";"   umie obliczyć wartość wyrażenia arytmetycznego zawierającego działania na

	liczbach wymiernych dodatnich (R - W)

   umie rozwiązać zadanie tekstowe związane z działaniami na ułamkach zwykłych

	i dziesiętnych (R)
   umie rozwiązać nietypowe zadanie tekstowe związane z działaniami na ułamkach

	zwykłych i dziesiętnych (D - W)"
"
	1 9 - 20";"
 Rozwinięcia dziesiętne

 ułamków zwykłych";"   zna i rozumie zasadę zamiany ułamka zwykłego na ułamek dziesiętny metodą

	dzielenia licznika przez mianownik (P)
   zna pojęcie rozwinięcia dziesiętnego skończonego i rozwinięcia dziesiętnego

	nieskończonego okresowego (P)
   umie podać rozwinięcie dziesiętne ułamka zwykłego (P - R)

   umie zapisać w skróconej postaci rozwinięcie dziesiętne ułamka zwykłego (P - R)

   umie określić kolejną cyfrę rozwinięcia dziesiętnego na podstawie jego skróconego

	zapisu (P - R)

   umie porównać liczby wymierne dodatnie (P - R)

   umie porządkować liczby wymierne dodatnie (P - R)";"   zna warunek konieczny zamiany ułamka zwykłego na ułamek dziesiętny skończony

	(D)
   umie określić rodzaj rozwinięcia dziesiętnego ułamka (D - W)

   umie porównać rozwinięcia dziesiętne liczb zapisanych w skróconej postaci (R - D)

   umie porównać liczby wymierne dodatnie (R - D)

   umie porządkować liczby wymierne dodatnie (R - D)

   umie rozwiązać nietypow e zadanie tekstowe związane z rozwinięciami dziesiętnymi

	ułamków zwykłych (D -W)"
