"

  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	DZIAŁ 1. LICZBY I DZIAŁANIA (1 7 h)";;;
"
	2 - 3";"
 Liczby";"  rozumie rozszerzenie osi liczbowej na liczby ujemne (K)

  umie porównywać liczby wymierne (K - P)

  umie zaznaczać liczbę wymierną na osi liczbo wej (K)

  umie znajdować liczbę wymierną leżącą pomiędzy dwiema danymi na osi liczbowej (P)

  umie zamieniać ułamek zwykły na dziesiętny i odwrotnie (K - P)";"  umie znajdować liczby spełniające określone warunki (R)

  umie porządkować liczby wymierne (R)"
4;"
 Rozwinięc ia dziesiętne liczb

 wymiernych";"  zna pojęcia: rozwinięcie dziesiętne skończone, nieskończone, okres (K)

  umie zapisać liczby wymierne w postaci rozwinięć dziesiętnych skończonych

	i rozwinięć dziesiętnych nieskończonych okresowych (K - P)
  umie porównywać liczby wymierne (P)

  umie określić na podstawie rozwinięcia dziesiętnego, czy dana liczba jest liczbą wymierną (P)";"  zna warunek konieczny zamiany ułamka zwykłego na ułamek dziesiętny skończony

	(R)
  umie przedstawić rozwinięcie dziesiętne nieskończone okresowe w pos taci ułamka

	zwykłego (R- D)

  umie porządkować liczby wymierne (R)"
"
	5 - 6";"
 Zaokrąg lanie liczb.

 Szacowanie wyników";"  zna sposób zaokrąglania liczb (K)

  rozumie potrzebę zaokrąglania liczb (K -P)

  umie zaokrąglić liczbę do danego rzędu (K - P)

  umie zaokrąglić liczbę o rozwinięciu dziesiętnym nieskończonym okresowym do danego rzędu

	(P)
  umie szacować wyniki działań (K - P)";"  umie dokonać porównań poprzez szacowanie w zadaniach tekstowych (R)

  umie znajdować liczby spełniające określone warunki (R - W)

  umie zaokrąglić liczbę o roz winięciu dziesiętnym nieskończonym okresowym do

	danego rzędu (R- W)"
"
	7 - 8";"
 Dodawanie i odejmowanie

 liczb dodatnich";"  zna algorytm dodawania i odejmowania liczb wymiernych dodatnich (K)

  umie dodawać i odejmować liczby wymierne dodatnie zapisane

	w jednakowej postaci (K)
  umie dodawać i odejmować liczby wymierne dodatnie zapisane w różnych postaciach (P)";"  umie rozwiązywać nietypowe zadania na zastosowanie dodawania

	i odejmowania liczb wymiernych (R - D)"
"
	9 - 10";"
 Mnożenie i dzielenie liczb

 dodatnich";"  zna algorytm mnożen ia i dzielenia liczb wymiernych dodatnich (K)

  umie podać odwrotność liczby (K)

  umie mnożyć i dzielić przez liczbę naturalną (K)

  umie mnożyć i dzielić liczby wymierne dodatnie (P)

  umie obliczać ułamek danej liczby naturalnej (K)

  umie obliczać liczbę na pods tawie danego jej ułamka (P)";"  umie zamieniać jednostki długości, masy (R)

  zna przedrostki mili i kilo (R)

  umie zamieniać jednostki długości na mikrony i jednostki masy na karaty (R)"
"
	11 - 12";"
 Wyrażenia arytmetyczne";"  zna kolejność wykonywania działań (K)

  umie wykonywać działania łączne na liczbach wymiernych dodatnich (P)";"  umie wykonywać działania łączne na liczbach wymiernych dodatnich (R)

  umie obliczać wartości wyrażeń arytmetycznych zawierających większą liczbę działań

	(R- D)
  umie zapisać podane słownie wyrażenia arytmetyczne i obliczać jego wartość (R)

  umie tworzyć wyrażenia arytmetyczne na podstawie treści zadań i obliczać ich

	wartość (R- W)"

"
	13 - 14";"
 Działania na liczbach

 dodatnich i ujemnych";"  umie dodawać, odejmować, mnożyć i dzielić dwie liczby (K)

  umie określić znak liczby będącej wynikiem dodawania lub odejmowania dwóch liczb

	wymiernych (P)
  zna pojęcie liczb przeciwnych (K)

  umie obliczać kwadraty i sześciany liczb wymiernych (P)

  umie stosować prawa działań (P)";"  umie stosować prawa działań (R)

  umie obliczać wartoś ci wyrażeń arytmetycznych (P - D)

  umie uzupełniać brakujące liczby w dodawaniu, odejmowaniu, mnożeniu

	i dzieleniu tak, by otrzymać ustalony wynik (R)
  umie wstawiać nawiasy tak, by otrzymać żądany wynik (D)

  umie obliczać wartości ułamków piętrowych (W)"
15;"
 Oś liczbowa. Odległość liczb

 na osi liczbowej";"  umie odczytać z osi liczbowej liczby spełniające określony warunek (K)

  umie opisać zbiór liczb za pomocą nierówności (K)

  umie zaznaczyć na osi liczbowej liczby spełniające określoną nierówność

	(K - P)
  umie zapisać nierówność, jaką spełniają liczby z zaznaczonego na osi liczbowej zbioru (P)

  zna pojęcie odległości między dwiema liczbami na osi liczbowej (K)

  umie na podstawie rysunku osi liczbowej określić odległość między liczbami (K)

  umie obliczyć odległość między liczbami na osi liczbowej (P)";"  umie zaznaczać na osi liczbowej zbiór liczb, które spełniają jednocześnie dwie

	nierówności (R- D)
  umie znaleźć liczby znajdujące się w określonej odległości na osi liczbowej od danej

	liczby (R- D)
  umie wykorzystywać wartość be zwzględną do obliczeń odległości liczb na osi

	liczbowej (R- W)

  umie znaleźć rozwiązanie równ ania z wartością bezwzględną (W)"
16;"
 Powtórzenie";;
"
	17 - 18";"
 Praca klasowa i jej

 omówienie";;
"
	DZIAŁ 2. PROCENTY (1 8 h)";;;
"
	19 - 20";"
 Procenty i ułamki";"  zna pojęcie procentu ( K)

  rozumie potrzebę stosowania procentów w życiu codziennym (K)

  umie wskazać przykłady zastosowań procentów w życiu codziennym (K)

  umie zamienić procent na ułamek (K)

  umie zamienić ułamek na procent (K - P)

  umie zamienić liczbę wymierną na procent (P)

  umie określić procentowo zaznaczoną część figury (K - P) i zaznaczyć procent danej figury (K - P)";"  zna pojęcie promila (R)

  umie zamieniać ułamki, procenty na promile i odwrotnie (R)"
21;"
 Diagramy procentowe";"  zna pojęcie diagramu procentowego (K)

  rozumie potrzebę stos owania diagramów do wizualizacji informacji (P)

  umie z diagramów odczytać potrzebne informacje (K - P)";"  potrafi wybrać z diagramu informacje i je zinterpretować (R - D)

  potrafi zobrazować dowolnym diagramem wybrane informacje (R - D)"
