"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	DZIAŁ 1. LICZBY I DZIAŁANIA (15 h)";;;
"
	2 - 3";"
 System rzymski.";"  zna znaki używane do zapisu liczb w systemie rzymskim (K)

  zna zasady zapisu liczb w systemie rzymskim (P)

  umie zapisać i odczytać liczby naturalne dodatnie w systemie rzymskim (w zakresie do 3000)

	(K - P)";  umie zapisać i odczytać w systemie rzymskim liczby większe od 4000 (R- D)
"
	4 - 5";"
 Własności liczb naturalnych";"  zna cechy podzielności przez 2, 3, 4, 5, 9, 10, 100 (K)

  zna pojęcia liczby pierwszej i liczby złożonej (K)

  zna pojęcie dzielnika liczby naturalnej (K)

  zna pojęcie wielokrotności liczby naturalnej (K)

  rozpoznaje liczby podzielne przez 2, 3, 4, 5, 9, 10, 100 (K)

  rozpoznaje liczby pierwsze i liczby złożone (K)

  rozkłada liczby na czynniki pierwsze (K, P)

  znajduje NWD i NWW dwóch liczb naturalnych (K, P)

  oblicza dzielną (lub dzielnik), mając dane iloraz, dzielnik (lub dzielną) oraz resztę z dzielenia

	(P)";"  znajduje resztę z dzielenia sumy, różnicy, iloczynu liczb (R - D)

  znajduje NWD i NWW liczb naturalnych przedstawionych

	w postaci iloczynu potęg liczb pierwszych (R - D)
  umie rozwiązać nietypowe zadania tekstowe związane

	z dzieleniem z resztą (R - W)"
"
	6 - 7";"
 Porównywanie liczb";"  zna pojęcia: liczby naturalnej, liczby całkowitej, liczby wymiernej (K)

  zna pojęcia: liczby przeciwnej do danej oraz odwrotności danej liczby (K)

  umie podać liczbę przeciwną do danej (K) oraz odwrotność d anej liczby (K - P)

  umie podać rozwinięcie dziesiętne ułamka zwykłego (K -P)

  umie odczytać współrzędną punktu na osi liczbowej oraz zaznaczyć liczbę na osi liczbowej (K -

	P)

  zna pojęcie potęgi o wykładniku: naturalnym (K)

  zna pojęcie pierwiastka arytmetycznego II stopnia z liczby nieujemnej i III stopnia

	z dowolnej liczby (K)

  zna pojęcie notacji wykładniczej (K)

  umie obliczyć potęgę o wykładniku: naturalnym (K)

  umie obliczyć pierwiastek arytmetyczny II i III stopnia z liczb, które są odpowiednio

	kwadratami lub sześcianami liczb wymiernych (K)
  rozumie potrzebę stosowania notacji wykładniczej w praktyce (P)

  umie zapisać liczbę w notacji wykładniczej (P)

  umie oszacować wartość wyrażenia zawierającego pierwiastki (P - R)

  umie porównywać (K) oraz porządkować (K - P) liczby przedstawione w różny sposób";"  umie odczytać współrzędne punktów na osi liczbowej

	i zaznaczyć liczbę na osi liczbowej (R)
  umie porównywać i porządkować liczby przedstawione w różny sposób (R - D)

  umie zapisać liczbę w notacji wykładniczej (R)"
"
	8 - 10";"
 Dział ania na liczbach";"  zna algorytmy działań na ułamkach (K)

  zna reguły dotyczące kolejności wykonywania działań (K)

  zna zasadę zamiany jednostek (P)

  umie zamieniać jednostki (K - P)

  umie wykonać działania łączne na liczbach (K - P)

  umie rozwiązać zadania tekstowe związane z działaniami na liczbach (P)

  umie oszacować wynik działania (K - R)

  umie zaokrąglić liczby do podanego rzędu (K - P)";"  umie wykonać działania łączne na liczbach (R - D)

  umie porównać liczby przedstawione na różne sposoby (R - D)

  umie rozwiązać zadania tekstowe dotyczące różnych sposobów zapisywania liczb (R -

	D)
  umie rozwiązać zadania tekstowe związane z działaniami na liczbach (R - D)"
"
	11 - 13";"
 Działania na potęgach";  zna własności działań na potęgach i pierwiastkach (K);  umie oszacować wartość wyrażenia zawierającego pierwiastki

;"
 i pierwiastkach";"  umie zapisać w postaci jednej potęgi iloczyny i ilorazy potęg o takich samych podstawach

	(K - P)
  umie zapisać w postaci jednej potęgi iloczyny i ilorazy potęg o takich samych wykładnikach

	(K - P)

  umie zapisać w postaci jednej potęgi potęgę potęgi o wykładniku naturalnym (K -P)

  stosuje w obliczeniach notację wykładniczą (P - R)

  umie wyłączyć czynnik przed znak pierwiastka (P)

  umie włączyć czynnik pod znak pierwiastka (P)

  umie oszacować wartość wyrażenia zawierającego pierwiastki (P - R)

  umie obliczyć wartość wyrażenia zawierającego pierwiast ki i potęgi (P - R)";"
	(R- D)
  umie wyłączyć czynnik przed znak pierwiastka (R)

  umie włączyć czynnik pod znak pierwiastka (R - D)

  umie usunąć niewymierność z mianownika, korzystając

	z własności pierwiastków (R)"
14;"
 Powtórzenie";;
"
	15 - 16";"
 Praca klasowa i jej omówienie";;
