"
 Treści nauczania według podstawy programowej";"
 klasa IV";"
 klasa V";"
 klasa VI"
" I. Liczby naturalne w dziesiątkowym układzie pozycyjnym.

 Uczeń:";;;
 1) odczytuje i zapisuje liczby naturalne wielocyfrowe;	+;	+;	+
 2) interpretuje liczby naturalne na osi liczbowej;	+;	+;	+
 3) porównuje liczby naturalne;"
	+";"
	+";"
	+"
 4) zaokrągla liczby naturalne;;;	+
" 5) liczby w zakresie do 3000 zapisane w systemie rzymskim

 przedstawia w systemie dziesiątkowym, a zapisane w systemie

 dziesiątkowym przedstawia w systemie rzymskim";"

	+";;"

	+"
 II. Działania na liczbach naturalnych. Uczeń:;;;
" 1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe

 lub większe, liczbę jednocyfrową dodaje do dowolnej liczby

 naturalnej i odejmuje od dowolnej liczby naturalnej";"

	+";"

	+";"

	+"
" 2) dodaje i odejmuje liczby naturalne wielocyfrowe pisemnie

 i za pomocą kalkulatora";"
	+";"
	+";"
	+"
" 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną

 jednocyfrową, dwucyfrową lub trzycyfrową pisemnie,

 w pamięci (w najprostszych przykładach) i za pomocą

 kalkulatora (w trudniejszych przykładach)";"

	+";"

	+";"

	+"
 4) wykonuje dzielenie z resztą liczb naturalnych;	+;	+;	+
" 5) stosuje wygodne dla niego sposoby ułatwiające obliczenia,

 w tym przemienność i łączność dodawania i mnożenia oraz

 rozdzielność mnożenia względem dodawania";"

	+";"

	+";"

	+"
 6) porównuje różnicowo i ilorazowo liczby naturalne;"
	+";"
	+";"
	+"
" 7) rozpoznaje liczby naturalne podzielne przez 2, 3, 4, 5, 9, 10,

 100";;"
	+";
" 8) rozpoznaje liczbę złożoną, gdy jest ona jednocyfrowa lub

 dwucyfrowa, a także, gdy na istnienie dzielnika wskazuje

 poznana cecha podzielności";;"

	+";
 9) rozkłada liczby dwucyfrowe na czynniki pierwsze;;	+;
 10) obl icza kwadraty i sześciany liczb naturalnych;"
	+";"
	+";"
	+"
 11) stosuje reguły dotyczące kolejności wykonywania działań;	+;	+;	+
 12) szacuje wyniki działań;;	+;	+
" 13) znajduje największy wspólny dzielnik (NDW) w sytuacjach

 nie trudniejszych niż NDW(600, 72), NDW(1140, 567),

 NDW(910, 2016) oraz wyznacza najmniejszą wspólną

 wielokrotność dwóch liczb naturalnych metodą rozkładu na

 czynniki";;"


	+";

"
 14) rozpoznaje wielokrotności danej liczby, kwadraty,

 sześciany, liczby pierwsze, liczby złożone";"
	+";"
	+";"
	+"
" 15) odpowiada na pytania dotyczące liczebności zbiorów

 różnych rodzajów liczb wśród liczb z pewnego niewielkiego

 zakresu (np. od 1 do 200 czy od 100 do 1000), o ile liczba

 w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby

 uczeń może wypisać";"


	+";"


	+";"


	+"
" 16) rozkłada liczby naturalne na czynniki pierwsze

 w przypadku, gdy co najwyżej jeden z tych czynników jest

 liczbą większą niż 10";;"

	+";
" 17) wyznacza wynik dzielenia z resztą liczby a przez liczbę b

 i zapisuje liczbę a w postaci:	=	∙	+";"
	+";"
	+";"
	+"
 III. Liczby całkowite. Uczeń:;;;
 1) podaje praktyczne przykłady stosowania liczb ujemnych;;	+;	+
 2) interpretuje liczby całkowite na osi liczbowej;;	+;	+
 3) oblicza wartość bezwzględną;;;	+
 4) porównuje liczby całkowite;;	+;	+
" 5) wykonuje proste rachunki pamięciowe na liczbach

 całkowitych";;"
	+";"
	+"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:;;;
 1) opisuje część danej całości za pomocą ułamka;	+;	+;	+
" 2) przedstawia ułamek jako iloraz liczb naturalnych,

 a iloraz liczb naturalnych jako ułamek";"
	+";"
	+";"
	+"
 3) skraca i rozszerza ułamki zwykłe;	+;	+;	+
 4) sprowadza ułamki zwykłe do wspólnego mianownika;;	+;	+
" 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej

 a liczbę mieszaną w postaci ułamka niewłaściwego";"
	+";"
	+";"
	+"
" 6) zapisuje wyrażenia dwumianowane w postaci ułamka

 dziesiętnego i odwrotnie";"
	+";"
	+";"
	+"
" 7) zaznacza ułamki zwykłe i dziesiętne na osi liczbowej oraz

 odczytuje ułamki zwykłe i dziesiętne zaznaczone na osi";"
	+";"
	+";"
	+"
" 8) zapisuje ułamek dziesiętny skończony w postaci ułamka

 zwykłego";"
	+";"
	+";"
	+"
" 9) zamienia ułamki zwykłe o mianownikach będących

 dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne

 skończone dowolną metodą (przez rozszerzanie ułamków

 zwykłych, dzielenie licznika przez mianownik w pamięci,

 pisemnie lub za pomocą kalkulatora)";;"


	+";"


	+"
" 10) zapisuje ułamki zwykłe o mianownikach innych niż

 wymienione w pkt 9 w postaci rozwinięcia dziesiętnego

 nieskończonego (z użyciem trzech kropek po ostatniej cyfrze),

 dzieląc licznik przez mianownik w pamięci, pisemnie lub za

 pomocą kalkulatora";;;"


	+"
 11) zaokrągla ułamki dzi esiętne;;;	+
 12) porównuje ułamki (zwykłe i dziesiętne);	+;	+;	+
" 13) oblicza liczbę, której część jest podana (wyznacza całość,

 z której określono część za pomocą ułamka)";;"
	+";"
	+"

"
 14) wyznacza liczbę, która powstaje po powiększeniu lub

 pomniejszeniu o pewną część innej liczby";;"
	+";"
	+"
 V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:;;;
" 1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe

 o mianownikach jedno lub dwucyfrowych, a także liczby

 mieszane";"

	+";"

	+";"

	+"
" 2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne

 w pamięci (w najprostszych przykładach), pisemnie i za

 pomocą kalkulatora (w trudniejszych przykładach)";"

	+";"

	+";"

	+"
" 3) wykonuje nieskomplikowane rachunki, w których występują

 jednocześnie ułamki zwykłe i dzi esiętne";;"
	+";"
	+"
 4) porównuje różnicowo ułamki;;	+;	+
 5) oblicza ułamek danej liczby naturalnej;;	+;	+
" 6) oblicza kwadraty i sześciany ułamków zwykłych

 i dziesiętnych oraz liczb mieszanych";;"
	+";"
	+"
" 7) oblicza wartości prostych wyrażeń arytmetycznych, stosując

 reguły dotyczące kolejności wykonywania działań";;"
	+";"
	+"
" 8) wykonuje działania na ułamkach dziesiętnych, używając

 własnych, poprawnych strategii lub z pomocą kalkulatora";"
	+";"
	+";"
	+"
" 9) oblicz wartość wyrażeń arytmetycznych, wymagających

 stosowania działań arytmetycznych na liczbach całkowitych lub

 liczbach zapisanych za pomocą ułamków zwykłych, liczb

 mieszanych i ułamków dziesiętnych, także wymiernych

 ujemnych o stopniu trudności nie większym niż w przykładzie

  − 12 : 0, 25 + 5, 25: 0 , 05 − 7 12 ∙ (2 , 5 − 3 23) + 1, 25";;"



	+";"



	+"
 VI. Elementy algebry. Uczeń:;;;
" 1) korzysta z nieskomplikowanych wzorów, w których

 występują oznaczenia literowe, opisuje wzór słowami";;"
	+";"
	+"
" 2) stosuje oznaczenia literowe nieznanych wielkości

 liczbowych i zapisuje proste wyrażenie algebraiczne na

 podstawie informacji osadzonych w kontekście praktycznym";;;"

	+"
" 3) rozwiązuje równania pierwszego stopnia z jedną niewiadomą

 występującą po jednej stronie równania (poprzez zgadywanie,

 dopełnianie lub wykonanie działania odwrotnego), na przykład

	− 2 = 4.

	3";;;"


	+"
 VII. Proste i odcinki. Uczeń:;;;
 1) rozpoznaje i nazywa figury: punkt, prosta, półprosta, odcinek;	+;	+;	+
 2) rozpoznaje odcinki i proste prostopadłe i równoległe;"
	+";"
	+";"
	+"
 3) rysuje pary odcinków prostopadłych i równoległych;	+;	+;	+
 4) mierzy długość odcinka z dokładnością do 1 milimetra;	+;	+;	+
 5) znajduje odległość punktu od prostej;;"
	+";"
	+"
 VIII. Kąty. Uczeń:;;;
 1) wskazuje w dowolnym kącie ramiona i wierzchołek;	+;	+;	+
" 2) mierzy kąty mniejsze od 180 stopni z dokładnością do

 1 stopnia";"
	+";"
	+";"
	+"
 3) rysuje kąt o mierze mniejszej niż 180 stopni;"
	+";"
	+";"
	+"

"
 4) rozpoznaje kąt prosty, ostry i rozwarty";"
	+";"
	+";"
	+"
 5) porównuje kąty;	+;	+;	+
" 6) rozpoznaje kąty wierzchołkowe i kąty przyległe oraz

 korzysta z ich własności";;"
	+";"
	+"
 IX. Wielokąty, koła, okręgi. Uczeń:;;;
" 1) rozpoznaje i nazywa trójkąty ostrokątne, prostokątne,

 rozwartokątne, równoboczne i równoramienne";;"
	+";"
	+"
" 2) konstruuje trójkąt o trzech danych bokach i ustala możliwość

 zbudowania trójkąta na podstawie nierówności trójkąta";;"
	+";"
	+"
 3) stosuje twierdzenie o sumie kątów wewnętrznych trójkąta;;	+;	+
" 4) rozpoznaje i nazywa: kwadrat, prostokąt, romb,

 równoległobok i trapez";"
	+";"
	+";"
	+"
" 5) zna najważniejsze własności kwadratu, prostokąta, rombu,

 równoległoboku i trapezu, rozpoznaje figury

 osiowosymetryczne i wskazuje osie symetrii";"

	+";"

	+";"

	+"
