"
 Treści nauczania wg podstawy programowej";"
  Klasa VII";"
  Klasa VIII"
"
  I.  Potęgi o podstawach wymiernych .  Uczeń:";;
"
  1) zapisuje iloczyn jednakowych czynników w postaci potęgi o wykładniku całkowitym

  dodatnim";	+;	+
"
  2) mnoży i dzieli potęgi o wykładnikach całkowitych dodatnich";	+;	+
"
  3) mnoży potęgi o różnych podstawach i jednakowych wykładnikach";	+;	+
"
  4) podnosi potęgę do potęgi";	+;	+
"  5) odczytuje i zapisuje liczby w notacji wykładniczej a ·1 0 k, gdzie  1   a < 10 ,

  k jest liczbą całkowitą.";	+;	+
"
  II.  Pierwiastki.  Uczeń:";;
"
  1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są

  odpowiednio kwadratami lub sześcianami liczb wymiernych;";	+;	+
"
  2) szacuje wielkość danego pierwiastka kwadrat owego lub sześci ennego oraz wyrażenia

  arytmetycznego zawierającego pierwiastki;";	+;	+
"
  3) p orównuje wartość wyrażenia arytmetycznego zawierającego pierwiastki z daną liczbą

  wymierną oraz znajduje liczby wymierne większe lub mniejsze od takiej wartości, np.

  znajduje liczbę całkowitą taką, że	≤ √ 137 <	+ 1";	+;	+
"
  4 ) oblicza pierwiastek z iloczynu i ilorazu dwóch liczb, wyłącza czynnik przed znak

  pierwiastka i włącza liczbę pod znak pierwiastka;";"
	+";"
	+"
"
  5 ) mnoży i dzieli pierwiastki tego samego stopnia;";	+;	+
"
  III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń:";;
"
  1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku

  zmiennych;";"
	+";"
	+"
"
  2) oblicza wartości liczbowe wyrażeń algebraicznych;";	+;	+
"
  3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebraicznych

  jednej lub kilku zmiennych;";	+;	+
"
  4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych;";"
	+";"
	+"
"
  IV. Przekształcanie wyrażeń algebraicznych.  Sumy algebraiczne i działania na

  nich. Uczeń:";;
"
  1) porządkuje jednomiany i dodaje jednomiany podobne;";	+;	+
"
  2) dodaje i odejmuje sumy algebraiczne;";	+;	+
"
  3) mnoży sumę algebraiczną przez jednomian i dodaje wyrażenia powstałe z mnożenia

  sum algebraicznych przez jednomian y;";	+;	+
"
  4) mnoży dwumian przez dwumian, dokonując redukcji wyrazów podobnych;";	+;	+
"
  V.  Obliczenia procentowe .  Uczeń:";;
"
  1) przedstawia część wielkości jako procent tej wielkości;";	+;	+
"
  2) oblicza liczbę a równą p procent danej liczby b ;";	+;	+
"
  3) oblicza , jaki procent danej liczby b stanowi liczba a;";"
	+";"
	+"
"
  4 ) oblicza liczbę b , której p procent jest równe a ;";	+;	+

"
  5 ) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście

  praktycznym, również w przypadkach wielokrotnych podwyżek lub obniżek.";"
	+";"
	+"
"
  VI.  Równania z jedną niewiadomą .  Uczeń:";;
"
  1) sprawdza, czy dana liczb a jest rozwiązaniem równania( stopnia pierwszego, drugiego

  lub trzeciego) z jedną niewiadomą,";	+;	+
"
  2) rozwiązuje równania stopnia pierwszego z jedną niewiadomą metoda równań

  równoważnych;";"
	+";"
	+"
"
  3) rozwiązuje równania, które po prostych przekształceniach wyrażeń algebraicznych

  sprowadzają się do równań pierwszego stopnia z jedną niewiadomą;";	+;	+
"
  4) rozwiązuje zdania tekstowe za pomocą równań pierwszego stopnia z jedną

  niewiadomą, w tym także z obliczeniami procentowymi;";	+;	+
"
  5) przekształca proste wzory, a by wyznaczyć wskazaną wielkość we wzorach

  geometrycznych (np. pól figur) i fizycznych (np. dotyczących prędkości, drogi i czasu);";	+;	+
"
  VII. Proporcjonalność prosta. Uczeń:";;
"
  1 ) podaje przykłady wielkości wprost proporcjonalnych ;";;	+
"
  2) wyznacza wartość przyjmowaną przez wielkość wprost proporcjonalną w przypadku

  konkretnej zależności proporcjonalnej;";;	+
"
  3) stosuje podział proporcjonalny;";;	+
"
  VIII.  Własności figur geometrycznych na płaszczyźnie. Uczeń:";;
"
  1) zna i stosuje twierdzenie o równości kątów wierzchołkowych (z wykorzystaniem

  zależności pomiędzy kątami przyległymi);";	+;	+
"
  2) przedstawia na płaszczyźnie dwie proste w różnych położeniach względem siebie,

  w szczególności proste prostopadłe i proste równoległe;";	+;	+
"
  3 ) korzysta z własności prostych równoległych, w szczególności stosuje równość kątów

  odpowiadających i naprzemianległych;";	+;	+
"
  4) zna i stosuje cechy przystawania trójkątów;";	+;	+
"
  5) zna i stosuje własności trójkątów równoramiennych (równość kątów przy podstawie)";	+;	+
"
  6) zna nierówność trójkąta	+	≥	i wie, kiedy zachodzi równość;";	+;	+
"
  7) wykonuje proste obliczenia geometryczne, wykorzystując sumę kątów wewnętrznych

  trójkąta i własności trójkątów równoramiennych;";	+;	+
"
  8) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa";;	+
"
  9) przeprowadza dowody geometryczne;";"
	+";"
	+"
"
  IX. Wielokąty. Uczeń:";;
"
  1) zna pojęcie wielokąta foremne go;";	+;	+
"
  2) stosuje wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu,

  a także do wyznaczania długości odcinków;";	+;	+
"
  X. Oś liczbowa. Uczeń:";;
"
  1) zaznacza na osi liczbowej zbiory liczb spełniających warunek taki jak	≥ 1 ,5 lub taki

  jak	< − 47 ;";	+;	+
"
  2) znajduje współrzędne danych (na rysunku) punktów kratowych w układzie

  współrzędnych na płaszczyźnie;";"
	+";"
	+"
"
  3) rysuje w układzie współrzędnych na płaszczyźnie punkty kratowe o danych

  współrzędnych całkowitych (dowolnego znaku) ;";	+;	+
"
  4) znajduje środek odcinka, którego końce mają dane współrzędne (całkowite lub

  wymierne) oraz znajduje współrzędne drugiego końca, gdy dany jest jeden koniec

  i środek;";	+;	+

"
  5) ob licza długość odcinka, którego końce są danymi punktami kratowymi

  w układzie współrzędnych ;";"
	+";"
	+"
"
  6) dla danych punktów kratowych A i B znajduje inne punkty kratowe należące do

  prostej AB ;";;	+
"
  XI. Geometria przestrzenna. Uczeń:";;
"
  1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;";"
	+";"
	+"
"
  2) oblicza pol a powierzchni i objętości graniastosłup ów prostych , prawidłowych i takich,

  które nie są prawidłowe;";	+;	+
"
  3) oblicza pol a powierzchni i objętości ostr osłup ów prawidłowych i takich, które nie są

  prawidłowe;";;	+
"
  XII. Wprowadzenie do kombinatoryki i rachunku prawdopodobieństwa. Uczeń:";;
"
  1) wyznacza zbiory obiektów, analizuje i oblicza, ile jest obiektów, mających daną

  własność, w przypadkach niewymagających stosowania reguł mnożenia i dodawania;";	+;	+
"
  2) przeprowadza proste doświadczenia losowe , polegające na rzucie monetą , rzucie

  sześcienną kostką do gry, rzucie kostką wielościenną lub losowaniu kul spośród zestawu

  kul, analizuje je i oblicza prawdopodobieństwa zdarzeń losowych ;";	+;	+
"
  XIII. Odczytywanie danych i elementy statystyki opisow ej. Uczeń:";;
"
  1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych,

  wykresów, w tym także wykresów w układzie współrzędnych ;";"
	+";"
	+"
"
  2) tworzy diagramy słupkowe i kołowe oraz wykresy liniowe na podstawie zebranych

  przez siebie danych lub danych pochodzących z różnych źródeł;";	+;	+
"
  3) oblicza średnią arytmetyczną kilku liczb;";"
	+";"
	+"
"
  XIV. Długość okręgu i pole koła. Uczeń:";;
"
  1) oblicza długość okręgu o danym promieniu lub średnicy;";;	+
"
  2) oblicza promień lub średnicę okręgu o danej długości okręgu;";;	+
"
  3) oblicza pole koła o danym promieniu lub średnicy;";;	+
"
  4) oblicza promień lub średnicę koła o danym polu koła;";;	+
"
  5) oblicza pole pierścienia koł owego o danych promieniach lub średnicach obu okrę gów

  tworzących pierścień;";;	+
"
  XV. Symetrie. Uczeń:";;
"
  1) rozpoznaje symetralną odcinka i dwusieczną kąta;";;"
	+"
"
  2) zna i stosuje w zadaniach podstawowe własności symetralnej odcinka i dwusiecznej

  kąta;";;	+
"
  3) rozpoznaje figury o siowosymetryczne i wskazuje ich o sie symetrii oraz uzupełnia

  figurę do figury o siowosymetrycznej przy danych: osi symetrii figury i części figury;";;	+
"
  4) rozpoznaje figury środkowosymetryczne i wskazuje ich środ ki symetrii ;";;"
	+"
"
  XVI. Zaawansowane metody zliczania. Uczeń:";;
"
  1) stosuje regułę mnożenia do zliczania par elementów o określonych właściwościach;";;	+
"
  2) stosuje regułę dodawania i mnożenia do zliczania par elementów w sytuacjach

  wymagających rozważenia kilku przypadków.";;	+
"
  XVII. Rachunek prawdopodobieństwa. Uczeń:";;
"
  1) oblicza prawdopodobieństwa zdarzeń w doświadczeniach polegaj ących na rzucie

  dwiema kostkami lub losowaniu dwóch elementów ze zwracaniem ;";;	+
"
  2) oblicza prawdopodobieństwa zdarzeń w doświadczeniach polegaj ących na losowaniu

  dwóch elementów bez zwracani a;";;	+
