"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ"
"
  DZIAŁ 1. LICZBY I DZIAŁANIA";
"
  Rachunki pamięciowe –

  dodawanie i odejmowanie";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 1) zapisuje i odczytuj e liczby naturalne wielocyfrowe.

 II. Działania na liczbach naturalnych. Uczeń:

 1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe lub większe, liczbę jednocyfr ową dodaje do dowolnej liczby naturalnej i odejmuje od

	dowolnej liczby naturalnej;

 10) szacuje wyniki działań ."
"
  O ile więcej, o ile mniej";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 3) porównuje liczby naturalne.

 II. Działania na liczbach naturalnych . Uczeń:

 5) porównuje liczby naturalne z wykorzystaniem ich różnicy lub ilorazu;

 10) szacuje wyniki działań ."
"
  Rachunki pamięciowe –

  mnożenie i dzielenie";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	n ajprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
"
  Mnożenie i dzielenie przez 10,

  100 …";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładac h);

 10) szacuje wyniki działań;"
"
  Mnożenie i dzielenie (cd.)";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
"
  Ile razy więcej, ile razy mniej";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 3) porównuje liczby naturalne.

 II. Działania na liczbach naturalnych . Uczeń:

 6) porównuje liczby naturalne z wykorzystaniem ich różnicy lub ilorazu;

 10) szacuje wyniki działań ."
"
  Dzielenie z resztą";"
 II. Działania na liczbach naturalnych . Uczeń:

 10) szacuje wyniki działań;"

;"
 13) odpowiada na pytania dotyczące liczebn ości zbiorów r óżnych rodzajów liczb z pewnego niewielkiego zakresu (np. od 1 do 200 czy od 100 do

	1000) o ile l iczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać;

 15) wyznacza wynik dzielenia z resztą liczby a przez liczbę b i zapisuje liczbę a w postaci a = b ∙ q + r, gdzie 0 ≤ r < b ."
