"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
"
  DZIAŁ 1. LICZBY NATURALNE I UŁAMKI";
"
  Rachunki pamięciowe na

  liczbach naturalnych";"
  I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

  1) odczytuje i zapisuje liczby naturalne wielocyfrowe;

  2) interpretuje liczby naturalne na osi liczbowej;

  3) porównuje liczby naturalne.

  II. Działania na liczbach naturalnych. Uczeń:

  1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe lub większe, liczbę jednocyfrową dodaje do dowolnej liczby naturalnej i odej muje od

  dowolnej liczby naturalnej;

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyf rową (…) w pamięci (w najprostszych przykładach) (…);

  4) stosuje wygodne dla siebie sposoby ułatwiające obliczenia, w tym przemienność i łączność dodawania i mnożenia oraz rozdzielność mnożenia

  względem dodawania;

  5) porównuje liczby naturalne z wykorzyst aniem ich różnicy lub ilorazu;

  8) oblicza kwadraty i sześciany liczb naturalnych;

  9) stosuje reguły dotyczące kolejności wykonywania działań;

  11) znajduje największy wspólny dzielnik (NWD) i najmniejszą wspólną wielokrotność (NWW) dwóch liczb naturalnych co najwyżej trzycyfrowych

  metodą rozkładu na czynniki;

  14) rozkłada liczby naturalne na czynniki pierwsze, co najwyżej trzycyfrowe, w przypadku gdy co najwyżej jeden z tych czynników j est liczbą większą

  niż 10;

  15) wyznacza wynik dzielenia z resztą liczby a przez liczbę b i zapisuje liczbę a w postaci a = b ∙ q + r , gdzie 0 ≤ r < b ."
"
  Rachunki pamięciowe na

  ułamkach dziesiętnych";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne w pamięci (w przykła dach najprostszych) (…);

  5) oblicza kwadraty i sześciany ułamków (…) dziesiętnych (…);

  6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii (…);

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych (…) na liczbach zapisanych za pomocą (…) ułamków

  dziesiętnych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte umiejętności

  rachunkowe, a także własne poprawne metody."
"
  Działania pisemne na

  ułamkach dziesiętnych";"
  V. Działania na ułamkach zwykłych i dzi esiętnych. Uczeń:"

;"
  2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne (…) pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6 cyfr różnych od zera) i za

  pomocą kalkulatora (w przykładach trudniejszych);

  5) oblicza kwadraty i sześciany ułamków (…) d ziesiętnych (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  3) dostrzega zależności między podanymi informacjami;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakr esu arytmetyki (…) oraz nabyte umiejętności

  rachunkowe, a także własne poprawne metody."
"
  Potęgowanie liczb*";"
  II. Działania na liczbach naturalnych. Uczeń:

  8) oblicza kwadraty i sześciany liczb naturalnych.

  V. Działania na ułamkach zwykłych i dziesiętnych. U czeń:

  5) oblicza kwadraty i sześciany ułamków (…) dziesiętnych (…)."
"
  Działania na ułamkach

  zwykłych";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka;

  2) przedstawia ułamek jako iloraz liczb naturalnych, a iloraz liczb naturalnych jako ułamek zwykły;

  3) skraca i rozszerza ułamki zwykłe;

  4) sprowadza ułamki zwykłe do wspólnego mianownika;

  5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a liczbę mieszaną w postaci ułamka niewłaściwego;

  7) zaznacza i odczytuje ułamki zwykłe (…) na osi liczbowej oraz odczytuje ułamki zwykłe (…) zaznaczone na osi liczbowej;

  12) porównuje ułamki (zwykłe (…)).

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane;

  4) oblicza ułamek danej liczby całkowitej;

  5) oblicza kwadraty (…) ułamków zwykłych (...) oraz liczb mieszanych;

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych ( …) na liczbach zapisanych za pomocą ułamków

  zwykłych, liczb mieszanych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  3) dostrzega zależności między podanymi informacjami;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte umiejętności

  rachunkowe, a także własne poprawne metody."
"
  Ułamki zwykłe i dziesiętne";"
  IV. Uła mki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka;

  2) przedstawia ułamek jako iloraz liczb naturalnych, a iloraz liczb naturalnych jako ułamek zwykły;

  3) skraca i rozszerza ułamki zwykłe;

  4) sprowadza ułamki zwykłe do wspólneg o mianownika;

  5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a liczbę mieszaną w postaci ułamka niewłaściwego;"

