"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY VII - VIII"
"
  DZIAŁ 1. LICZBY I DZIAŁANIA";
"
  Liczby";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Rozwinięcia dziesiętne liczb

  wymiernych";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Zaokrąglanie liczb.

  Szacowanie wyników";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy progr amowej dla klas IV -VI."
"
  Dodawanie i odejmowanie

  liczb dodatnich";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Mnożenie i dzielenie liczb

  dodatnich";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Wyrażenia arytmetyczne";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Działania na liczbach

  dodatnich i ujemnych";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Oś liczbowa. Odległość liczb

  na osi liczbowej";"
  X. Oś liczbowa. Układ współrzędnych na płaszczyźnie. Uczeń:

  1) zaznacza na osi liczbowej zbiory liczb spełniających warunek taki jak x ≥ 1,5 lub taki jak x < −  ."
"
  DZIAŁ 2. PROCENTY";
"
  Procenty i ułamki";"
  V. Obliczenia procentowe. Uczeń:

  1) przedstawia część wielkości jako procent tej wielkości."
"
  Diagramy procentowe";"
  V. Obliczenia procentowe. Uczeń:

  1) przedstawia część wielkości jako procent tej wielkości.

  XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

  1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzi e

  współrzędnych."
"
  Jaki to procent?";"
  V. Obliczenia procentowe. Uczeń:

  3) oblicza, jaki procent danej liczby b stanowi liczba a ."
"
  Obliczanie procentu danej

  liczby";"
  V. Obliczenia procentowe. Uczeń:

  2) oblicza liczbę a równą p procent danej liczby b ."
"
  Podwyżki i obniżki";"
  V. Obliczenia procentowe. Uczeń:"

;"
  5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwyżek lub

  obniżek danej wielkości."
"
  Obliczanie liczby, gdy dany

  jest jej procent";"
  V. Obliczenia procentowe. Uczeń:

  4) oblicza liczbę b , której p procent jest równe a ."
"
  O ile procent więcej, o ile

  mniej. Punkty procentowe";"
  V. Obliczenia procentowe. Uczeń:

  5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwy żek lub

  obniżek danej wielkości."
"
  Obliczenia procentowe";"
  V. Obliczenia procentowe. Uczeń:

  5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwy żek lub

  obniżek danej wielkości."
"
  DZIAŁ 3. FIGURY NA PŁASZC Z YŹNIE";
"
  Proste i odcinki";"
  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  2) przedstawia na płaszczyźnie dwie proste w różnych położeniach względem siebie, w szczególności proste prostopadłe i proste równoległe."
"
  Kąty";"
  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  1) zna i sto suje twierdzenie o równości kątów wierzchołkowych (z wykorzystaniem zależności między kątami przyległymi);

  3) korzysta z własności prostych równoległych, w szczególności stosuje równość kątów odpowiadających i naprzemianległych."
"
  Trójkąty";"
  VIII. Własności f igur geometrycznych na płaszczyźnie. Uczeń:

  5) zna nierówność trójkąta	+	≥	i wie, kiedy zachodzi równość;

  6) wykonuje proste obliczenia geometryczne wykorzystując sumę kątów wewnętrznych trójkąta i własności trójkątów równoramienny ch."
"
  Przystawanie trójkątów";"
  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  4) zna i stosuje cechy przystawania trójkątów;

  8) przeprowadza dowody geometryczne."
"
  Czworokąty";"
  Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla kla s IV-VI oraz

  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  8) przeprowadza dowody geometryczne."
"
  Wielokąty foremne";"
  IX. Wielokąty. Uczeń:

  1) zna pojęcie wielokąta foremnego.

  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  8) przeprowadza dowody geometryczne."
"
  Pole prostokąta. Jednostki

  pola";"
  IX. Wielokąty. Uczeń:

  2) stosuje wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu, a także do wyznaczania długości odci nków."
"
  Pola wielokątów";"
  IX. Wielokąty. Uczeń:

  2) stosuje wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu, a także do wyznaczania długości odci nków.

  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  8) przeprowadza dowody geometryczne."
"
  Układ współrzędnych";"
  X. Oś liczbowa. Układ współrzędnych na płaszczyźnie. Uczeń:"

;"
  2) znajduje współrzędne danych (na rysunku) punktów kratowych w układzie współrzędnych na płaszczyźnie;

  3) rysuje w układzie współrzędnych na płaszczyźnie punkty kratowe o danych współrzędnych całkow itych (dowolnego znaku);

  5) oblicza długość odcinka, którego końce są danymi punktami kratowymi w układzie współrzędnych."
"
  DZIAŁ 4. WYRAŻENIA ALGEBRAICZNE";
