Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Co to jest pole figury?,Co to jest pole figury?,"XI. Obliczenia w geometrii. Uczeń: 3) oblicza pola: trójkąta, kwadratu, prostokąta (…) przedstawionych na rysunku oraz w sytuacjach praktycznych (…) .",100.0,"['zna pojęcie kwadratu jednostkowego (K)', 'zna pojęcie pola jako liczby kwadratów jednostkowych (K)', 'umie mierzyć pola figur kwadratami jednostkowymi (K) i trójkątami jednostkowymi itp. (P)', 'umie budować figury z kwadratów jednostkowych (P)']",['umie rozwiązywać zadania tekstowe z zastosowaniem pojęcia pola (W)'],"[(11, 3)]"
Co to jest skala?,Co to jest skala?,"XII. Obliczenia praktyczne. Uczeń: 8) oblicza rzeczywistą długość odcinka, gdy dana jest jego długość w skali, oraz długość odcinka w skali, gdy d ana jest jego rzeczywista długość .",100.0,"['zna pojęcie skali (P)', 'umie kreślić odcinki w skali (P)']","['umie kreślić prostokąty i okręgi w skali (R)', 'umie obliczać długości odcinków w skali lub w rzeczywistości (R)', 'umie obliczać rzeczywiste wymiary obiektów narysowanych w skali (R–D)', 'umie rozwiązywać zadania tekstowe związane ze skalą (R –W)']","[(12, 8)]"
"Czytanie tekstów. Analizowanie informacji, cz. 1","Czytanie tekstów. Analizowanie informacji, cz. 1","XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje liczbowe; 2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i danych z treści zadania; 3) d ostrzega zależności między podanymi informacjami; 6) weryfikuje wynik zadania, oceniając sensowność rozwiązania np. poprzez szacowanie, sprawdzanie wszystkich warunków zadania, ocenianie rzędu wielkości otrzymanego wyniku .",100.0,"['umie czytać ze zrozumieniem zadania tekstowe (P)', 'umie odpowiadać na pytania zawarte w prostym zadaniu tekstowym (P)']",['umie odpowiadać na pytania zawarte w trudniejszym zadaniu tekstowym (R)'],"[(14, 1), (14, 2), (14, 3), (14, 6)]"
"Czytanie tekstów. Analizowanie informacji, cz. 2","Czytanie tekstów. Analizowanie informacji, cz. 2","XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje liczbowe; 2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i danych z treści zadania; 3) dostrzega zależności między podanymi informacjami; 4) dzieli rozwiązanie zadania na etapy, stosując własne, popraw ne, wygodne dla niego strategie rozwiązania; 5) do rozwiązywania zadań osadzonych w kontekście prakt ycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte umiejętności rachunkowe, a t akże własne poprawne metody; 6) weryfikuje wynik zadania tekstowego, oceniając sen sowność rozwiązania np. poprzez szacowanie, sprawdzanie wszystkich warunków zadania, ocenia nie rzędu wielkości otrzymanego wyniku .",100.0,"['umie czytać tekst ze zrozumieniem (P)', 'umie odpowiadać na pytania zawarte w tekście (P)']","['umie układać pytania do podanych informacji (R)', 'umie ustalać na podstawie podanych informacji, na które pytania nie można odpowiedzieć (R)']","[(14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6)]"
Dodawanie pisemne,Dodawanie pisemne,II. Działania na liczbach naturalnych. Uczeń: 2) dodaje (…) liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora .,100.0,"['zna algorytm dodawania pisemnego (K)', 'umie dodawać pisemnie liczby bez przekraczania progu dziesiątkowego i z przekraczaniem jednego progu dziesiątkowego (K)', 'umie dodawać pisemnie liczby z przekraczaniem kolejnych progów dziesiątkowych (P)', 'umie obliczać sumy liczb opisanych słownie (P)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania pisemnego (P)']","['umie rozwiązywać kryptarytmy (W)', 'umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem dodawania pisemnego (D–W)']","[(2, 2)]"
Dodawanie ułamków dziesiętnych,Dodawanie ułamków dziesiętnych*,"V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 2) dodaje (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6 cyfr różnych od zera) i za po mocą kalkulatora (w przykładach trudniejszych) .",100.0,"['zna algorytm dodawania pisemnego ułamków dziesiętnych (K)', 'pamięciowo i pisemnie umie dodawać ułamki dziesiętne o jednakowej liczbie cyfr po przecinku (K) i o różnej liczbie cyfr po przecinku (P )', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków dziesiętnych (P )']",['umie rozwiązywać zadania z zastosowaniem dodawania ułamków dziesiętnych (D –W)'],"[(5, 2)]"
Dodawanie ułamków zwykłych,Dodawanie ułamków zwykłych*,"V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 1) dodaje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane .",100.0,"['zna algorytm dodawania ułamków zwykłych o jednakowych mianownikach (K)', 'umie dodawać dwa ułamki zwykłe o tych samych mianownikach (K)', 'umie dodawać liczby mieszane o tych samych mianownikach (P)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków zwykłych (P)']","['umie dopełniać ułamki do całości (R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków zwykłych (D–W)']","[(5, 1)]"
Działania pisemne. Zadania tekstowe,Działania pisemne. Zadania tekstowe*,"II. Działania na liczbach naturalnych . Uczeń: 4) stosuje wygodne dla niego sposoby ułatwiające obliczenia , w tym przemienność i łączność dodawania i mnożenia oraz rozdzielność mnożenia względem dodawania; 9) stosuje reguły dotyczące kolejności wykonywania działań. XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje li czbowe; 2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i danych z treści zadania;",100.0,[],"['umie rozwiązywać zadania tekstowe z zastosowaniem działań pisemnych (D)', 'umie rozwiązywać wielodziałaniowe zadania tekstowe z zastosowaniem działań pisemnych (R–W)']","[(2, 4), (2, 9), (14, 1), (14, 2)]"
Dzielenie pisemne przez liczby jednocyfrowe,Dzielenie pisemne przez liczby jednocyfrowe,"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach); 10) szacuje wyniki działań .",100.0,"['zna algorytm dzielenia pisemnego przez liczby jednocyfrowe (K)', 'umie porównywać ilorazowo (P)', 'umie dzielić pisemnie liczby wielocyfrowe przez jednocyfrowe (K –P)', 'umie sprawdzać poprawność dzielenia pisemnego (P)', 'um ie wykonywać dzielenie pisemne z resztą (P)', 'umie pomniejszać liczbę n razy (K –P)']","['umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem dzielenia pisemnego (R–W)', 'umie rozwiązywać kryptarytmy (W)']","[(2, 3), (2, 10)]"
Dzielenie z resztą,Dzielenie z resztą,II. Działania na liczbach naturalnych . Uczeń: 10) szacuje wyniki działań;,100.0,"['zna pojęcie reszty z dzielenia (K)', 'wie, że reszta jest mniejsza od dzielnika (P)', 'umie wykonywać dzielenie z resztą (P)', 'umie obliczać dzielną, mając iloraz, dzielnik oraz resztę z dzielenia (P)']",['umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia z resztą (R– W )'],"[(2, 10)]"
